timestamp;sensor;temp;umid;tsr;timestamp_10min
2004-02-28 23:59:21.000;2;23.53;47.63;154.6;2004-02-29 00:00:00.000
2004-02-29 04:00:21.000;2;22.08;50.18;145.7;2004-02-29 04:00:00.000
2004-02-29 08:01:18.000;2;21.48;52.18;406.3;2004-02-29 08:00:00.000
2004-02-29 12:00:21.000;2;25.37;47.63;476.9;2004-02-29 12:00:00.000
2004-02-29 16:00:19.000;2;24.64;50.42;242.9;2004-02-29 16:00:00.000
2004-02-29 20:00:21.000;2;23.28;51.18;154.6;2004-02-29 20:00:00.000
2004-03-01 00:01:30.000;2;22.63;52.30;154.6;2004-03-01 00:00:00.000
2004-03-01 03:58:58.000;2;21.90;54.13;145.7;2004-03-01 04:00:00.000
2004-03-01 08:00:56.000;2;25.28;48.60;198.7;2004-03-01 08:00:00.000
2004-03-01 12:00:59.000;2;28.03;48.03;353.3;2004-03-01 12:00:00.000
2004-03-01 16:00:21.000;2;28.94;46.28;216.4;2004-03-01 16:00:00.000
2004-03-01 20:00:35.000;2;25.49;49.13;125.9;2004-03-01 20:00:00.000
2004-03-02 00:00:30.000;2;23.76;49.57;125.9;2004-03-02 00:00:00.000
2004-03-02 04:01:11.000;2;22.10;50.54;8.280;2004-03-02 04:00:00.000
2004-03-02 07:59:01.000;2;27.02;42.86;282.6;2004-03-02 08:00:00.000
2004-03-02 12:00:15.000;2;27.89;39.26;494.6;2004-03-02 12:00:00.000
2004-03-02 16:00:33.000;2;27.82;37.75;282.6;2004-03-02 16:00:00.000
2004-03-02 20:02:54.000;2;25.67;38.42;121.4;2004-03-02 20:00:00.000
2004-03-03 00:00:25.000;2;24.37;37.53;130.3;2004-03-03 00:00:00.000
2004-03-03 04:00:28.000;2;22.83;37.15;9.936;2004-03-03 04:00:00.000
2004-03-03 07:58:01.000;2;28.78;31.93;370.9;2004-03-03 08:00:00.000
2004-03-03 12:02:29.000;2;27.02;37.20;251.7;2004-03-03 12:00:00.000
2004-03-03 16:00:56.000;2;27.84;40.36;406.3;2004-03-03 16:00:00.000
2004-03-03 19:59:28.000;2;26.57;43.64;130.3;2004-03-03 20:00:00.000
2004-03-03 23:59:57.000;2;25.28;43.73;154.6;2004-03-04 00:00:00.000
2004-03-04 04:00:32.000;2;23.12;45.66;11.04;2004-03-04 04:00:00.000
2004-03-04 08:01:28.000;2;28.21;38.04;282.6;2004-03-04 08:00:00.000
2004-03-04 12:00:05.000;2;29.28;37.49;423.9;2004-03-04 12:00:00.000
2004-03-04 15:58:28.000;2;26.88;45.29;234.0;2004-03-04 16:00:00.000
2004-03-04 20:00:03.000;2;25.96;46.77;154.6;2004-03-04 20:00:00.000
2004-03-05 00:00:30.000;2;24.83;46.73;154.6;2004-03-05 00:00:00.000
2004-03-05 04:00:36.000;2;23.68;47.14;154.6;2004-03-05 04:00:00.000
2004-03-05 07:59:01.000;2;28.68;39.60;423.9;2004-03-05 08:00:00.000
2004-03-05 11:59:31.000;2;26.73;45.99;423.9;2004-03-05 12:00:00.000
2004-03-05 15:58:01.000;2;26.97;49.05;459.3;2004-03-05 16:00:00.000
2004-03-05 20:00:09.000;2;26.11;49.49;154.6;2004-03-05 20:00:00.000
2004-03-06 00:01:32.000;2;24.93;50.30;154.6;2004-03-06 00:00:00.000
2004-03-06 03:58:36.000;2;23.94;51.66;154.6;2004-03-06 04:00:00.000
2004-03-06 07:59:04.000;2;23.93;52.06;423.9;2004-03-06 08:00:00.000
2004-03-06 12:00:04.000;2;30.71;42.36;680.1;2004-03-06 12:00:00.000
2004-03-06 16:00:03.000;2;30.45;43.77;318.0;2004-03-06 16:00:00.000
2004-03-06 19:59:07.000;2;27.46;48.44;154.6;2004-03-06 20:00:00.000
2004-03-06 23:59:33.000;2;25.84;50.10;154.6;2004-03-07 00:00:00.000
2004-03-07 04:00:04.000;2;24.64;50.82;154.6;2004-03-07 04:00:00.000
2004-03-07 07:59:04.000;2;24.96;50.30;423.9;2004-03-07 08:00:00.000
2004-03-07 12:00:13.000;2;31.64;42.86;644.7;2004-03-07 12:00:00.000
2004-03-07 15:59:09.000;2;32.37;42.53;406.3;2004-03-07 16:00:00.000
2004-03-07 20:00:04.000;2;28.89;47.71;154.6;2004-03-07 20:00:00.000
2004-03-08 00:00:06.000;2;27.51;48.36;154.6;2004-03-08 00:00:00.000
2004-03-08 04:00:44.000;2;26.31;48.92;154.6;2004-03-08 04:00:00.000
2004-03-08 08:00:01.000;2;27.73;49.13;388.6;2004-03-08 08:00:00.000
2004-03-08 12:00:15.000;2;27.18;54.17;644.7;2004-03-08 12:00:00.000
2004-03-08 15:59:01.000;2;26.59;52.74;406.3;2004-03-08 16:00:00.000
2004-03-08 20:00:06.000;2;28.81;45.29;154.6;2004-03-08 20:00:00.000
2004-03-09 00:00:08.000;2;27.54;44.72;43.06;2004-03-09 00:00:00.000
2004-03-09 04:00:02.000;2;26.31;44.84;11.04;2004-03-09 04:00:00.000
2004-03-09 08:00:33.000;2;28.38;42.77;388.6;2004-03-09 08:00:00.000
2004-03-09 12:00:02.000;2;26.88;52.38;609.4;2004-03-09 12:00:00.000
2004-03-09 16:00:44.000;2;26.41;56.34;370.9;2004-03-09 16:00:00.000
2004-03-09 20:00:12.000;2;27.41;53.54;130.3;2004-03-09 20:00:00.000

