timestamp;sensor;temp;umid;tsr;timestamp_10min
2004-02-29 00:00:53.000;20;18.32;46.55;0.92;2004-02-29 00:00:00.000
2004-02-29 01:00:23.000;20;17.79;38.80;0.92;2004-02-29 01:00:00.000
2004-02-29 01:59:48.000;20;17.30;40.86;0.92;2004-02-29 02:00:00.000
2004-02-29 02:59:52.000;20;16.77;42.27;0.92;2004-02-29 03:00:00.000
2004-02-29 03:59:54.000;20;16.48;47.18;0.92;2004-02-29 04:00:00.000
2004-02-29 04:59:49.000;20;16.20;47.64;0.92;2004-02-29 05:00:00.000
2004-02-29 05:59:55.000;20;15.77;46.09;0.92;2004-02-29 06:00:00.000
2004-02-29 06:59:49.000;20;15.71;46.42;57.04;2004-02-29 07:00:00.000
2004-02-29 07:59:49.000;20;16.67;47.60;1847.36;2004-02-29 08:00:00.000
2004-02-29 08:59:52.000;20;22.43;37.19;1847.36;2004-02-29 09:00:00.000
2004-02-29 09:59:57.000;20;21.26;37.96;1023.04;2004-02-29 10:00:00.000
2004-02-29 10:59:50.000;20;21.89;39.04;1081.92;2004-02-29 11:00:00.000
2004-02-29 11:59:58.000;20;21.99;41.51;1023.04;2004-02-29 12:00:00.000
2004-02-29 12:59:54.000;20;21.83;38.72;1023.04;2004-02-29 13:00:00.000
2004-02-29 13:59:56.000;20;21.97;36.54;772.8;2004-02-29 14:00:00.000
2004-02-29 14:59:55.000;20;21.59;39.44;537.28;2004-02-29 15:00:00.000
2004-02-29 15:59:49.000;20;20.67;38.77;323.84;2004-02-29 16:00:00.000
2004-02-29 16:59:57.000;20;20.13;44.33;165.6;2004-02-29 17:00:00.000
2004-02-29 17:59:50.000;20;19.59;40.14;24.84;2004-02-29 18:00:00.000
2004-02-29 18:59:50.000;20;19.11;41.04;15.64;2004-02-29 19:00:00.000
2004-02-29 19:59:57.000;20;18.93;45.10;15.64;2004-02-29 20:00:00.000
2004-02-29 20:59:58.000;20;18.72;39.77;15.64;2004-02-29 21:00:00.000
2004-02-29 22:00:20.000;20;18.63;48.51;15.64;2004-02-29 22:00:00.000
2004-02-29 22:59:50.000;20;18.48;40.26;15.64;2004-02-29 23:00:00.000
2004-02-29 23:59:55.000;20;18.31;46.03;15.64;2004-03-01 00:00:00.000
2004-03-01 00:59:54.000;20;17.81;47.71;15.64;2004-03-01 01:00:00.000
2004-03-01 01:59:50.000;20;17.54;48.30;15.64;2004-03-01 02:00:00.000
2004-03-01 02:59:32.000;20;17.31;48.14;15.64;2004-03-01 03:00:00.000
2004-03-01 04:00:02.000;20;17.02;47.48;14.72;2004-03-01 04:00:00.000
2004-03-01 04:59:52.000;20;16.70;51.12;14.72;2004-03-01 05:00:00.000
2004-03-01 06:00:07.000;20;16.24;47.02;13.8;2004-03-01 06:00:00.000
2004-03-01 07:00:23.000;20;15.80;48.64;48.76;2004-03-01 07:00:00.000
2004-03-01 07:59:57.000;20;23.04;39.24;136.16;2004-03-01 08:00:00.000
2004-03-01 09:00:04.000;20;23.56;38.55;136.16;2004-03-01 09:00:00.000
2004-03-01 09:59:54.000;20;24.45;38.81;309.12;2004-03-01 10:00:00.000
2004-03-01 10:59:52.000;20;25.25;31.97;195.04;2004-03-01 11:00:00.000
2004-03-01 11:59:52.000;20;27.16;30.31;743.36;2004-03-01 12:00:00.000
