timestamp;sensor;temp;umid;tsr;timestamp_10min
2004-02-28 23:59:49.000;26;18.17;42.65;8.28;2004-02-29 00:00:00.000
2004-02-29 00:59:49.000;26;17.38;44.11;7.36;2004-02-29 01:00:00.000
2004-02-29 01:59:52.000;26;16.68;46.06;7.36;2004-02-29 02:00:00.000
2004-02-29 02:59:49.000;26;15.96;48.38;7.36;2004-02-29 03:00:00.000
2004-02-29 04:00:20.000;26;15.60;49.74;7.36;2004-02-29 04:00:00.000
2004-02-29 05:00:19.000;26;15.30;50.89;7.36;2004-02-29 05:00:00.000
2004-02-29 06:00:19.000;26;15.08;51.92;7.36;2004-02-29 06:00:00.000
2004-02-29 06:59:49.000;26;15.08;52.30;45.08;2004-02-29 07:00:00.000
2004-02-29 07:59:49.000;26;15.86;49.83;802.24;2004-02-29 08:00:00.000
2004-02-29 08:59:19.000;26;21.87;35.85;1258.56;2004-02-29 09:00:00.000
2004-02-29 10:00:20.000;26;21.22;37.84;1140.8;2004-02-29 10:00:00.000
2004-02-29 10:59:50.000;26;22.70;35.71;1023.04;2004-02-29 11:00:00.000
2004-02-29 11:59:50.000;26;22.98;35.85;1140.8;2004-02-29 12:00:00.000
2004-02-29 12:59:50.000;26;22.20;37.71;1081.92;2004-02-29 13:00:00.000
2004-02-29 13:59:50.000;26;22.75;37.02;831.68;2004-02-29 14:00:00.000
2004-02-29 14:59:50.000;26;21.90;39.00;655.04;2004-02-29 15:00:00.000
2004-02-29 15:59:50.000;26;20.59;41.98;338.56;2004-02-29 16:00:00.000
2004-02-29 16:57:58.000;26;19.91;42.58;224.48;2004-02-29 17:00:00.000
2004-02-29 17:59:50.000;26;19.32;43.45;121.44;2004-02-29 18:00:00.000
2004-02-29 18:59:50.000;26;18.85;44.05;114.08;2004-02-29 19:00:00.000
2004-02-29 19:59:50.000;26;18.66;44.31;114.08;2004-02-29 20:00:00.000
2004-02-29 21:00:20.000;26;18.35;44.97;114.08;2004-02-29 21:00:00.000
2004-02-29 21:59:50.000;26;18.26;45.11;114.08;2004-02-29 22:00:00.000
2004-02-29 23:00:21.000;26;18.01;45.70;114.08;2004-02-29 23:00:00.000
2004-02-29 23:59:20.000;26;17.84;46.29;108.56;2004-03-01 00:00:00.000
2004-03-01 00:59:51.000;26;17.45;47.79;104.88;2004-03-01 01:00:00.000
2004-03-01 01:59:55.000;26;17.05;48.87;104.88;2004-03-01 02:00:00.000
2004-03-01 02:59:51.000;26;16.92;48.87;104.88;2004-03-01 03:00:00.000
2004-03-01 04:00:21.000;26;16.57;49.74;101.2;2004-03-01 04:00:00.000
2004-03-01 05:00:08.000;26;16.19;50.45;97.52;2004-03-01 05:00:00.000
2004-03-01 05:59:51.000;26;15.66;52.87;93.84;2004-03-01 06:00:00.000
2004-03-01 07:00:21.000;26;15.11;54.04;114.08;2004-03-01 07:00:00.000
2004-03-01 08:00:21.000;26;21.12;40.53;195.04;2004-03-01 08:00:00.000
2004-03-01 08:59:51.000;26;21.89;39.48;172.96;2004-03-01 09:00:00.000
2004-03-01 09:59:52.000;26;22.79;39.21;264.96;2004-03-01 10:00:00.000
2004-03-01 11:00:10.000;26;23.69;38.05;195.04;2004-03-01 11:00:00.000
2004-03-01 11:59:51.000;26;26.47;34.67;625.6;2004-03-01 12:00:00.000
2004-03-01 12:59:51.000;26;26.94;33.83;920;2004-03-01 13:00:00.000
2004-03-01 13:59:22.000;26;27.26;33.76;397.44;2004-03-01 14:00:00.000
2004-03-01 14:59:56.000;26;27.18;33.14;309.12;2004-03-01 15:00:00.000
2004-03-01 15:59:52.000;26;27.24;32.12;279.68;2004-03-01 16:00:00.000
2004-03-01 16:59:52.000;26;27.24;31.59;209.76;2004-03-01 17:00:00.000
2004-03-01 18:00:08.000;26;26.89;31.70;121.44;2004-03-01 18:00:00.000
2004-03-01 18:59:56.000;26;21.86;41.94;121.44;2004-03-01 19:00:00.000
2004-03-01 20:00:23.000;26;21.12;41.81;121.44;2004-03-01 20:00:00.000
2004-03-01 21:00:25.000;26;20.54;42.14;121.44;2004-03-01 21:00:00.000
2004-03-01 21:59:52.000;26;20.15;42.31;121.44;2004-03-01 22:00:00.000
2004-03-01 22:59:52.000;26;19.30;43.08;121.44;2004-03-01 23:00:00.000
2004-03-02 00:00:23.000;26;19.02;43.38;121.44;2004-03-02 00:00:00.000
2004-03-02 00:59:53.000;26;18.26;43.98;1.38;2004-03-02 01:00:00.000
2004-03-02 01:59:23.000;26;17.79;44.11;1.38;2004-03-02 02:00:00.000
2004-03-02 02:58:31.000;26;17.40;44.51;0.92;2004-03-02 03:00:00.000
2004-03-02 04:00:23.000;26;17.05;45.04;0.92;2004-03-02 04:00:00.000
2004-03-02 05:00:15.000;26;16.59;45.80;0.92;2004-03-02 05:00:00.000
2004-03-02 05:59:53.000;26;16.38;46.09;0.92;2004-03-02 06:00:00.000
2004-03-02 07:00:23.000;26;16.28;46.49;46.92;2004-03-02 07:00:00.000
2004-03-02 07:59:54.000;26;25.45;30.43;831.68;2004-03-02 08:00:00.000
2004-03-02 08:58:28.000;26;29.16;25.74;1199.68;2004-03-02 09:00:00.000
2004-03-02 10:00:23.000;26;29.84;24.8;1552.96;2004-03-02 10:00:00.000
2004-03-02 10:59:53.000;26;28.50;25.88;1847.36;2004-03-02 11:00:00.000
2004-03-02 11:59:25.000;26;28.92;24.14;1847.36;2004-03-02 12:00:00.000
2004-03-02 12:59:54.000;26;29.19;23.63;1847.36;2004-03-02 13:00:00.000
2004-03-02 14:00:24.000;26;28.52;23.56;1376.32;2004-03-02 14:00:00.000
2004-03-02 14:59:54.000;26;27.37;24.58;861.12;2004-03-02 15:00:00.000
2004-03-02 15:59:19.000;26;26.92;25.38;441.6;2004-03-02 16:00:00.000
2004-03-02 16:59:55.000;26;24.47;27.86;172.96;2004-03-02 17:00:00.000
2004-03-02 18:00:24.000;26;23.26;29.47;23;2004-03-02 18:00:00.000
2004-03-02 18:59:55.000;26;22.46;30.39;114.08;2004-03-02 19:00:00.000
2004-03-02 19:59:58.000;26;22.04;30.50;114.08;2004-03-02 20:00:00.000
2004-03-02 20:59:54.000;26;21.39;31.31;114.08;2004-03-02 21:00:00.000
2004-03-02 21:59:55.000;26;20.88;30.81;114.08;2004-03-02 22:00:00.000
2004-03-02 22:59:54.000;26;20.36;31.34;114.08;2004-03-02 23:00:00.000
2004-03-02 23:59:55.000;26;19.96;31.27;114.08;2004-03-03 00:00:00.000
2004-03-03 00:59:57.000;26;19.69;31.24;114.08;2004-03-03 01:00:00.000
2004-03-03 01:59:55.000;26;19.13;31.52;0.92;2004-03-03 02:00:00.000
2004-03-03 02:59:25.000;26;18.56;31.52;0.92;2004-03-03 03:00:00.000
2004-03-03 04:00:25.000;26;18.12;31.73;0.92;2004-03-03 04:00:00.000
2004-03-03 04:59:55.000;26;17.76;32.01;0.92;2004-03-03 05:00:00.000
2004-03-03 05:59:56.000;26;17.61;32.47;0.92;2004-03-03 06:00:00.000
2004-03-03 07:00:25.000;26;17.64;33.21;57.04;2004-03-03 07:00:00.000
2004-03-03 07:59:56.000;26;27.58;22.17;743.36;2004-03-03 08:00:00.000
2004-03-03 09:00:26.000;26;29.31;20.77;743.36;2004-03-03 09:00:00.000
2004-03-03 09:59:26.000;26;30.92;19.70;1317.44;2004-03-03 10:00:00.000
2004-03-03 11:00:26.000;26;31.56;19.51;1081.92;2004-03-03 11:00:00.000
2004-03-03 11:59:56.000;26;29.13;21.80;338.56;2004-03-03 12:00:00.000
2004-03-03 12:59:59.000;26;29.40;22.24;655.04;2004-03-03 13:00:00.000
2004-03-03 13:58:00.000;26;28.79;24.29;323.84;2004-03-03 14:00:00.000
2004-03-03 15:00:26.000;26;28.68;24.8;235.52;2004-03-03 15:00:00.000
2004-03-03 15:59:26.000;26;29.05;24.65;802.24;2004-03-03 16:00:00.000
2004-03-03 16:59:56.000;26;29.12;24.65;294.4;2004-03-03 17:00:00.000
2004-03-03 18:00:03.000;26;28.43;25.81;128.8;2004-03-03 18:00:00.000
2004-03-03 19:00:26.000;26;23.53;33.42;114.08;2004-03-03 19:00:00.000
2004-03-03 19:59:57.000;26;22.81;34.74;114.08;2004-03-03 20:00:00.000
2004-03-03 20:59:26.000;26;22.18;35.40;114.08;2004-03-03 21:00:00.000
2004-03-03 22:00:26.000;26;21.67;36.33;114.08;2004-03-03 22:00:00.000
2004-03-03 23:00:57.000;26;21.04;36.95;114.08;2004-03-03 23:00:00.000
2004-03-03 23:59:57.000;26;20.08;38.05;9.2;2004-03-04 00:00:00.000
2004-03-04 01:00:27.000;26;19.41;39.07;0.92;2004-03-04 01:00:00.000
2004-03-04 02:00:29.000;26;18.83;39.92;0.92;2004-03-04 02:00:00.000
2004-03-04 02:59:57.000;26;18.44;40.16;1.38;2004-03-04 03:00:00.000
2004-03-04 03:59:57.000;26;18.05;40.43;0.92;2004-03-04 04:00:00.000
2004-03-04 05:00:28.000;26;17.65;40.83;0.92;2004-03-04 05:00:00.000
2004-03-04 05:59:58.000;26;17.44;41.17;0.92;2004-03-04 06:00:00.000
2004-03-04 06:59:58.000;26;17.36;41.34;64.4;2004-03-04 07:00:00.000
2004-03-04 07:59:58.000;26;25.47;28.11;684.48;2004-03-04 08:00:00.000
2004-03-04 08:59:58.000;26;27.51;25.95;1140.8;2004-03-04 09:00:00.000
2004-03-04 09:59:58.000;26;30.15;22.97;1552.96;2004-03-04 10:00:00.000
2004-03-04 11:00:01.000;26;32.14;20.84;1847.36;2004-03-04 11:00:00.000
2004-03-04 11:59:30.000;26;32.79;20.32;1847.36;2004-03-04 12:00:00.000
2004-03-04 12:59:58.000;26;33.12;20.32;1847.36;2004-03-04 13:00:00.000
2004-03-04 13:59:58.000;26;29.59;24.8;1494.08;2004-03-04 14:00:00.000
2004-03-04 14:59:59.000;26;27.16;28.00;1023.04;2004-03-04 15:00:00.000
